carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-07-30,2026-07-30T03:57:52.522717
SKT,5GB,38000,38000,0,0,0,,2026-07-30,2026-07-30T03:57:52.523230
SKT,다이렉트5G,69000,69000,0,0,0,,2026-07-30,2026-07-30T03:57:52.523728
KT,요고 69,12000,9667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.102606
KT,요고 61,192000,189667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.104044
KT,요고 42,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.105498
KT,요고 32,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.106954
KT,요고 44,44000,41667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.108399
KT,요고 46,46000,43667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.109859
KT,요고 49,49000,46667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.111291
KT,요고 34,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.112760
KT,요고 40,34000,31667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.114184
KT,요고 38,4000,1667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.115670
KT,요고 36,36000,33667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.117127
KT,요고 55,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.118579
KT,요고 30,38000,35667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-07-30,2026-07-30T03:57:54.120015
LG,너겟 65,65000,65000,0,0,0,,2026-07-30,2026-07-30T03:57:55.762104
LG,너겟 49,49000,49000,0,0,0,,2026-07-30,2026-07-30T03:57:55.762113
LG,너겟 59,59000,59000,0,0,0,,2026-07-30,2026-07-30T03:57:55.762115
