carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-06-13,2026-06-13T05:22:07.853921
SKT,5GB,38000,38000,0,0,0,,2026-06-13,2026-06-13T05:22:07.854611
SKT,다이렉트5G,69000,69000,0,0,0,,2026-06-13,2026-06-13T05:22:07.855292
SKT,5G ZEM플랜,36000,33000,36000,3000,12,"혜택 5G ZEM플랜 퍼펙트 월 36,000원",2026-06-13,2026-06-13T05:22:07.855549
LG,너겟 59,59000,39000,240000,20000,12,네이버페이 등 너겟쿠폰 24만원,2026-06-13,2026-06-13T05:23:18.224294
LG,너겟 49,49000,29000,240000,20000,12,네이버페이 등 너겟쿠폰 24만원,2026-06-13,2026-06-13T05:23:18.224305
LG,너겟 75,75000,63000,180000,12000,15,네이버페이 등 너겟쿠폰 1만2천원,2026-06-13,2026-06-13T05:23:18.224309
LG,너겟 46,46000,41000,75000,5000,15,네이버페이 등 너겟쿠폰 7만5천원,2026-06-13,2026-06-13T05:23:18.224311
LG,너겟 43,43000,38000,30000,5000,6,네이버페이 등 너겟쿠폰 3만원,2026-06-13,2026-06-13T05:23:18.224316
LG,너겟 69,69000,66584,29000,2416,12,"네이버페이 등 너겟쿠폰 29,000원",2026-06-13,2026-06-13T05:23:18.224320
LG,너겟 65,65000,0,3000000,250000,12,네이버페이 등 너겟쿠폰 300만원,2026-06-13,2026-06-13T05:23:18.224345
