carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-08-11,2026-08-11T03:04:35.607877
SKT,5GB,38000,38000,0,0,0,,2026-08-11,2026-08-11T03:04:35.608688
SKT,다이렉트5G,69000,69000,0,0,0,,2026-08-11,2026-08-11T03:04:35.609477
KT,요고 40,34000,29584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.316229
KT,요고 36,36000,31584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.318741
KT,요고 42,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.321214
KT,요고 32,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.323693
KT,요고 69,12000,7584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.326152
KT,요고 30,38000,33584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.328620
KT,요고 44,44000,39584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.331075
KT,요고 38,4000,0,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.333639
KT,요고 46,46000,41584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.336106
KT,요고 49,49000,44584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.338568
KT,요고 55,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.341015
KT,요고 34,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.343470
KT,요고 61,192000,187584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-08-11,2026-08-11T03:04:37.345914
LG,너겟 59,59000,59000,0,0,0,,2026-08-11,2026-08-11T03:04:38.726118
LG,너겟 49,49000,49000,0,0,0,,2026-08-11,2026-08-11T03:04:38.726125
LG,너겟 65,65000,65000,0,0,0,,2026-08-11,2026-08-11T03:04:38.726127
