carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-09-02,2026-09-02T05:30:52.626795
SKT,5GB,38000,38000,0,0,0,,2026-09-02,2026-09-02T05:30:52.627446
SKT,다이렉트5G,69000,69000,0,0,0,,2026-09-02,2026-09-02T05:30:52.628098
KT,요고 30,38000,33584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.671418
KT,요고 44,44000,39584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.672961
KT,요고 49,49000,44584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.674482
KT,요고 61,49000,44584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.676016
KT,요고 32,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.677536
KT,요고 40,34000,29584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.679020
KT,요고 36,36000,31584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.680545
KT,요고 34,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.682058
KT,요고 69,12000,7584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.683570
KT,요고 42,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.685091
KT,요고 46,46000,41584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.686482
KT,요고 55,27610,23194,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.687916
KT,요고 38,38000,33584,53000,4416,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 53,000원",2026-09-02,2026-09-02T05:30:53.689349
LG,너겟 65,65000,65000,0,0,0,,2026-09-02,2026-09-02T05:30:54.654378
LG,너겟 59,59000,59000,0,0,0,,2026-09-02,2026-09-02T05:30:54.654387
LG,너겟 49,49000,49000,0,0,0,,2026-09-02,2026-09-02T05:30:54.654389
