carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-06-22,2026-06-22T06:31:01.150671
SKT,5GB,38000,38000,0,0,0,,2026-06-22,2026-06-22T06:31:01.151501
SKT,다이렉트5G,69000,69000,0,0,0,,2026-06-22,2026-06-22T06:31:01.152269
SKT,5G ZEM플랜,36000,33000,36000,3000,12,"혜택 5G ZEM플랜 퍼펙트 월 36,000원",2026-06-22,2026-06-22T06:31:01.152580
KT,요고 40,34000,31667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.130085
KT,요고 61,192000,189667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.132276
KT,요고 32,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.134602
KT,요고 55,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.136874
KT,요고 69,384000,381667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.139143
KT,요고 36,12100,9767,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.141413
KT,요고 30,38000,35667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.143689
KT,요고 42,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.145969
KT,요고 49,49000,46667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.148237
KT,요고 44,44000,41667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.150518
KT,요고 46,46000,43667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.152789
KT,요고 38,4000,1667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.155087
KT,요고 34,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-06-22,2026-06-22T06:31:03.157372
LG,너겟 65,65000,65000,0,0,0,,2026-06-22,2026-06-22T06:31:04.329413
LG,너겟 59,59000,59000,0,0,0,,2026-06-22,2026-06-22T06:31:04.329422
LG,너겟 49,49000,49000,0,0,0,,2026-06-22,2026-06-22T06:31:04.329424
